166	3960	3180	24669	4294956704	1	
167	4020	3180	25744	4294957565	1	
168	4020	3240	26828	4294958434	1	
169	4020	3240	27912	4294959312	1	
170	4020	3300	29002	4294960203	1	
171	4080	3300	30096	4294961099	1	
172	4080	3360	31195	4294962002	1	
173	4080	3420	32298	4294962918	1	
174	3220983792	3420	4294935164	4294963840	1	
175	4140	3420	4294936272	4294964768	1	
176	4140	3480	4294937388	4294965702	1	
177	4140	3480	4294938506	4294966644	1	
178	4140	3540	4294939627	296	1	
179	4200	3540	4294940752	1249	1	
180	4200	3540	4294941883	2210	1	
181	4200	3600	4294943021	3179	1	
182	4260	3600	4294944162	4154	1	
183	4260	3660	4294945310	5139	1	
184	4260	3660	4294946462	6123	1	
185	4260	3660	4294947618	7118	1	
186	4320	3720	4294948776	8118	1	
187	4320	3720	4294949938	9122	1	
188	4320	3720	4294951104	10131	1	
189	4380	3780	4294952276	11148	1	
190	4380	3780	4294953449	12169	1	
191	4380	3840	4294954625	13196	1	
192	4380	3840	4294955802	14229	1	
193	4380	3840	4294956984	15271	1	
194	4380	3900	4294958170	16316	1	
195	4440	3900	4294959359	17369	1	
196	4440	3900	4294960551	18426	1	
197	4440	3960	4294961749	19490	1	
198	4440	3960	4294962948	20559	1	
199	4500	3960	4294964153	21630	1	
200	4500	4020	4294965363	22708	1	
201	4500	4020	4294966574	23790	1	
202	4500	4020	493	24878	1	
203	4560	4080	1715	25974	1	
204	4560	4080	2936	27071	1	
205	4560	4080	4162	28173	1	
206	4560	4140	5389	29281	1	
207	4560	4140	6620	30393	1	
208	4560	4140	7852	31510	1	
209	4620	4200	9088	32634	1	
210	4620	3220983912	10327	4294935519	1	
211	4620	4200	11570	4294936650	1	
212	4620	4200	12816	4294937787	1	
213	4620	4260	14062	4294938928	1	
214	4620	4260	15314	4294940075	1	
215	4680	4260	16570	4294941224	1	
216	4680	4260	17828	4294942377	1	
217	4680	4320	19090	4294943534	1	
218	4680	4320	20354	4294944696	1	
219	4740	4320	21622	4294945863	1	
220	4740	4380	22892	4294947035	1	
221	4740	4380	24163	4294948212	1	
222	4740	4380	25439	4294949394	1	
223	4740	4380	26718	4294950580	1	
224	4740	4440	28000	4294951768	1	
225	4800	4440	29289	4294952963	1	
226	4800	4440	30579	4294954162	1	
227	4800	4440	31872	4294955365	1	
228	3220984512	4500	4294934930	4294956571	1	
229	4860	4500	4294936243	4294957782	1	
230	4860	4500	4294937558	4294958998	1	
231	4860	4500	4294938872	4294960217	1	
232	4860	4560	4294940185	4294961440	1	
233	4860	4560	4294941498	4294962668	1	
234	4860	4560	4294942812	4294963901	1	
235	4860	4620	4294944124	4294965139	1	
236	4920	4620	4294945444	4294966387	1	
237	4860	4620	4294946759	340	1	
238	4860	4680	4294948072	1592	1	
239	4860	4680	4294949386	2852	1	
240	4860	4680	4294950700	4115	1	
241	4860	4740	4294952012	5382	1	
242	4860	4740	4294953325	6656	1	
243	4860	4740	4294954638	7937	1	
244	4980	4800	4294955975	9225	1	
245	4980	4860	4294957320	10525	1	
246	5040	4860	4294958670	11836	1	
247	5040	4860	4294960028	13149	1	
248	5100	4920	4294961395	14478	1	
249	5100	4980	4294962773	15822	1	
250	5160	5040	4294964162	17178	1	
251	5220	5100	4294965564	18546	1	
252	5280	5160	4294966980	19930	1	
253	5280	5160	1111	21324	1	
254	5340	5220	2554	22735	1	
255	5400	5280	4004	24154	1	

1	0	0	4227	24324	1	
2	0	0	4227	24324	1	
3	0	0	4227	24324	1	
4	0	0	4227	24324	1	
5	0	0	4227	24324	1	
6	0	0	4227	24324	1	
7	0	0	4227	24324	1	
8	0	0	4227	24324	1	
9	0	0	4227	24324	1	
10	0	0	4227	24324	1	
11	0	0	4227	24324	1	
12	0	0	4227	24324	1	
13	0	0	4227	24324	1	
14	0	0	4227	24324	1	
15	0	0	4227	24324	1	
16	0	0	4227	24324	1	
17	0	0	4227	24324	1	
18	0	0	4227	24324	1	
19	0	0	4227	24324	1	
20	0	0	4227	24324	1	
21	0	0	4227	24324	1	
22	0	0	4227	24324	1	
23	0	0	4227	24324	1	
24	0	0	4227	24324	1	
25	0	0	4227	24324	1	
26	0	0	4228	24324	1	
27	0	0	4228	24326	1	
28	0	0	4228	24326	1	
29	0	0	4229	24326	1	
